open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore
1695592800000,1589.94000000,1589.94000000,1586.50000000,1589.30000000,2722.00900000,1695596399999,4323416.97867100,9277,1064.69610000,1690924.07384100,0
1695596400000,1589.30000000,1589.31000000,1570.01000000,1580.71000000,18780.64480000,1695599999999,29648404.38282000,30059,8446.85080000,13329313.74757400,0
1695600000000,1580.71000000,1581.16000000,1563.01000000,1579.64000000,25705.19350000,1695603599999,40437761.61828200,41164,12954.73960000,20380286.74023200,0
1695603600000,1579.63000000,1588.20000000,1575.26000000,1575.51000000,12505.98430000,1695607199999,19789975.45847500,25823,6652.91640000,10527712.35870100,0
1695607200000,1575.52000000,1581.41000000,1575.15000000,1580.17000000,5946.07220000,1695610799999,9385125.48727800,15801,3341.44320000,5273748.80177600,0
1695610800000,1580.17000000,1582.19000000,1577.57000000,1577.72000000,3641.73480000,1695614399999,5754060.52940800,12307,1769.24780000,2795551.87871100,0
1695614400000,1577.71000000,1580.62000000,1575.26000000,1578.69000000,4353.62030000,1695617999999,6869124.94165300,11804,2086.02840000,3291167.47052600,0
1695618000000,1578.69000000,1579.39000000,1574.34000000,1576.37000000,3952.12490000,1695621599999,6230971.77392100,11922,1502.78910000,2369169.98032500,0
1695621600000,1576.36000000,1580.85000000,1572.52000000,1578.57000000,6125.30410000,1695625199999,9658957.93427600,16532,3110.68760000,4906103.28059600,0
1695625200000,1578.56000000,1581.84000000,1576.80000000,1581.25000000,4457.19020000,1695628799999,7039987.91545000,13209,2390.55450000,3775949.79997500,0
1695628800000,1581.26000000,1583.12000000,1576.39000000,1578.39000000,4366.24370000,1695632399999,6897142.51907100,14536,1847.77950000,2919146.03992100,0
1695632400000,1578.39000000,1578.60000000,1572.92000000,1573.33000000,4636.03850000,1695635999999,7305350.68408200,14694,1881.64740000,2965184.84141600,0
1695636000000,1573.32000000,1576.05000000,1573.09000000,1574.32000000,4096.21020000,1695639599999,6449760.22992900,12772,1978.59680000,3115539.77099700,0
1695639600000,1574.32000000,1575.50000000,1565.81000000,1569.01000000,9992.53560000,1695643199999,15683134.55401700,22735,3940.05630000,6182861.16945700,0
1695643200000,1569.00000000,1572.21000000,1564.35000000,1570.88000000,9033.78700000,1695646799999,14172343.32494000,23059,3881.49810000,6089638.44198100,0
1695646800000,1570.88000000,1577.44000000,1570.03000000,1576.71000000,7724.82480000,1695650399999,12153198.04215900,20249,3710.19010000,5837702.69224500,0
1695650400000,1576.70000000,1577.00000000,1573.67000000,1576.03000000,5061.70660000,1695653999999,7973899.24325100,15379,2692.35620000,4241202.13591000,0
1695654000000,1576.03000000,1589.74000000,1576.03000000,1584.64000000,15733.88160000,1695657599999,24931276.89776900,30653,8215.47480000,13014246.41622100,0
1695657600000,1584.64000000,1597.50000000,1584.63000000,1590.61000000,17918.39360000,1695661199999,28536733.37041500,28680,9124.40440000,14530091.90658700,0
1695661200000,1590.61000000,1595.08000000,1588.08000000,1592.46000000,6730.22250000,1695664799999,10708169.83039100,15721,3277.78180000,5214535.03237600,0
1695664800000,1592.46000000,1594.00000000,1590.85000000,1591.28000000,3590.00510000,1695668399999,5716625.80311600,9593,1529.76140000,2435823.81464500,0
1695668400000,1591.29000000,1592.36000000,1587.36000000,1591.47000000,4437.64070000,1695671999999,7053111.34290800,11431,2110.55460000,3354293.86066100,0
1695672000000,1591.48000000,1596.68000000,1585.88000000,1586.33000000,8443.32470000,1695675599999,13448442.97170400,14386,3764.06390000,5996636.51026900,0
1695675600000,1586.33000000,1587.71000000,1584.45000000,1587.26000000,3761.15560000,1695679199999,5965038.53489900,9078,2019.51340000,3203173.42591400,0
1695679200000,1587.25000000,1587.97000000,1586.43000000,1586.98000000,2256.09000000,1695682799999,3580794.05665300,6838,1110.25460000,1762170.85009300,0
1695682800000,1586.99000000,1589.96000000,1586.77000000,1588.33000000,2237.64320000,1695686399999,3553499.65861400,6676,1350.33560000,2144259.16344700,0
1695686400000,1588.34000000,1589.14000000,1586.17000000,1587.47000000,2885.68070000,1695689999999,4582227.97408800,10127,1482.14360000,2353513.73672200,0
1695690000000,1587.47000000,1592.11000000,1586.58000000,1591.38000000,4462.51780000,1695693599999,7091457.07153400,11672,2607.21440000,4143471.03147600,0
1695693600000,1591.37000000,1593.01000000,1588.76000000,1592.75000000,3685.49060000,1695697199999,5862965.37524200,10865,1698.77380000,2702456.73923300,0
1695697200000,1592.74000000,1594.53000000,1591.80000000,1591.95000000,3253.80860000,1695700799999,5183845.37284100,10614,1645.60440000,2621656.68381700,0
1695700800000,1591.95000000,1592.24000000,1590.70000000,1591.61000000,2209.53710000,1695704399999,3516268.64638500,7750,705.33150000,1122507.43058600,0
1695704400000,1591.60000000,1593.34000000,1591.19000000,1592.19000000,2626.20240000,1695707999999,4181251.38666600,9831,1277.24610000,2033476.51329700,0
1695708000000,1592.19000000,1595.11000000,1587.40000000,1588.76000000,5046.96690000,1695711599999,8027279.09425900,12903,2071.47830000,3295001.78390000,0
1695711600000,1588.75000000,1590.05000000,1587.29000000,1588.90000000,4184.00640000,1695715199999,6646310.96472800,10527,1870.11170000,2970844.40547000,0
1695715200000,1588.90000000,1592.25000000,1588.68000000,1589.85000000,4848.60790000,1695718799999,7708950.64681700,12379,2664.69520000,4236493.10966000,0
1695718800000,1589.84000000,1599.78000000,1587.98000000,1593.31000000,11395.41550000,1695722399999,18159428.86813500,22192,6036.81770000,9620890.30152900,0
1695722400000,1593.31000000,1594.08000000,1586.58000000,1588.81000000,7334.23730000,1695725999999,11657072.59007000,16317,3052.41460000,4851333.72700300,0
1695726000000,1588.81000000,1592.99000000,1585.80000000,1591.47000000,4569.52580000,1695729599999,7261386.78896400,14247,2084.77190000,3312828.10546500,0
1695729600000,1591.46000000,1593.74000000,1586.95000000,1587.39000000,6307.61100000,1695733199999,10030517.38672800,16188,2931.32600000,4662445.23260500,0
1695733200000,1587.39000000,1589.41000000,1580.43000000,1584.90000000,10116.56910000,1695736799999,16045056.45259000,19792,4224.53240000,6700101.22769700,0
1695736800000,1584.90000000,1587.41000000,1582.32000000,1586.93000000,7579.85160000,1695740399999,12015039.69015300,18391,3450.75080000,5469584.75456200,0
1695740400000,1586.93000000,1587.33000000,1580.05000000,1582.99000000,6692.78170000,1695743999999,10600376.90561500,15485,2993.67060000,4741212.17335400,0
1695744000000,1582.99000000,1592.85000000,1582.09000000,1589.01000000,6839.87820000,1695747599999,10863861.75058400,16099,3641.48550000,5783367.99830600,0
1695747600000,1589.02000000,1591.75000000,1584.19000000,1586.10000000,4856.93480000,1695751199999,7713357.60687800,12743,1980.54280000,3145561.39480500,0
1695751200000,1586.10000000,1587.25000000,1583.79000000,1584.65000000,3189.02840000,1695754799999,5055396.02173100,9821,1527.09480000,2420797.15531900,0
1695754800000,1584.64000000,1590.94000000,1584.48000000,1589.42000000,4294.84340000,1695758399999,6817786.41734400,10638,2491.84920000,3955659.84811300,0
1695758400000,1589.42000000,1591.61000000,1586.85000000,1587.13000000,5131.16530000,1695761999999,8155791.99071600,12424,2501.61160000,3976582.22868800,0
